a1,a2,a3,a4,a5,res
14,62,0.225806451612903,0.244239631336405,0.016129032258065,Handwritten_extended
23,55,0.418181818181818,0.21501976284585,0.018181818181818,Handwritten_extended
28,53,0.528301886792453,0.313342318059299,0.018867924528302,Handwritten_extended
21,72,0.291666666666667,0.302248677248677,0.013888888888889,Handwritten_extended
63,96,0.65625,0.292989417989418,0.010416666666667,Handwritten_extended
18,75,0.24,0.192592592592593,0.013333333333333,Handwritten_extended
14,91,0.153846153846154,0.383045525902668,0.010989010989011,Handwritten_extended
22,92,0.239130434782609,0.312747035573123,0.010375494071146,Handwritten_extended
18,40,0.45,0.25,0.025,Handwritten_extended
14,55,0.254545454545454,0.151948051948052,0.018181818181818,Handwritten_extended
12,85,0.141176470588235,0.6,0.011764705882353,Handwritten_extended
46,150,0.306666666666667,0.220144927536232,0.006666666666667,Handwritten_extended
14,62,0.225806451612903,0.266129032258064,0.016129032258065,Handwritten_extended
14,62,0.225806451612903,0.273041474654378,0.016129032258065,Handwritten_extended
22,147,0.149659863945578,0.177798392084106,0.006802721088435,Handwritten_extended
25,135,0.185185185185185,0.153777777777778,0.007407407407407,Handwritten_extended
44,62,0.709677419354839,0.263563049853372,0.016129032258065,Handwritten_extended
17,57,0.298245614035088,0.231166150670795,0.017543859649123,Handwritten_extended
41,77,0.532467532467532,0.247070003167564,0.012670256572696,Handwritten_extended
45,123,0.365853658536585,0.161156278229449,0.007949412827462,Handwritten_extended
23,55,0.418181818181818,0.21501976284585,0.018181818181818,Handwritten_extended
58,62,0.935483870967742,0.198553948832036,0.016129032258065,Handwritten_extended
76,212,0.358490566037736,0.17117676266137,0.004716981132075,Handwritten_extended
28,90,0.311111111111111,0.224603174603174,0.011111111111111,Handwritten_extended
20,87,0.229885057471264,0.270114942528735,0.010344827586207,Handwritten_extended
20,166,0.120481927710843,0.201204819277108,0.006024096385542,Handwritten_extended
62,56,1.10714285714286,0.492799539170507,0.015841013824885,Handwritten_extended
29,38,0.763157894736842,0.301270417422868,0.02540834845735,Handwritten_extended
18,79,0.227848101265823,0.338255977496484,0.012658227848101,Handwritten_extended
19,31,0.612903225806452,0.285229202037351,0.032258064516129,Handwritten_extended
37,29,1.27586206896552,0.191053122087605,0.026095060577819,Handwritten_extended
24,54,0.444444444444444,0.209104938271605,0.018518518518519,Handwritten_extended
65,60,1.08333333333333,0.234871794871795,0.015128205128205,Handwritten_extended
15,27,0.555555555555556,0.192592592592593,0.034567901234568,Handwritten_extended
15,23,0.652173913043478,0.249275362318841,0.040579710144928,Handwritten_extended
18,46,0.391304347826087,0.171497584541063,0.020531400966184,Handwritten_extended
17,29,0.586206896551724,0.294117647058824,0.03448275862069,Handwritten_extended
24,35,0.685714285714286,0.216666666666667,0.028571428571429,Handwritten_extended
19,45,0.422222222222222,0.23859649122807,0.021052631578947,Handwritten_extended
